Submodel_Name,Powertrain_Name,Powertrain_Link,Related_Models,Markets_Sold,EEC_segmentation,Body_Style,Traction,Length,Width,Height,Wheelbase,Weight,Engine_Manufacturer,Engine_Type,Fuel_Type,Fuel_System,Charge_System,Valves_Per_Cylinder,Additional_Features,Cylinders_Alignment,Displacement,Horsepower,Torque,Transmission,Transmission_Type,Number_Of_Gears,Top_Speed,0_100_kmh_(sec),ECE90_120_city_comb,EU_NEDC_Australia_ADR82,Battery_Capacity,Battery_Capacity_Net,E_Power_Cons_NEDC_comb,E_Power_Cons_WLTP_comb,E_Range_NEDC_comb,E_Range_WLTP_comb,E_Range_NEDC_city,E_Range_WLTP_city,Simulation_Based_Consumption
2004 Alfa Romeo 156 GTA Sedan ,Alfa Romeo 156 GTA Selespeed (s-aut. 6 speed),/car/2004/221390/alfa_romeo_156_gta_selespeed.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4435 mm / 174.6 in,1765 mm / 69.5 in,1402 mm / 55.2 in,2595 mm / 102.2 in,1410 kg / 3108 lbs,AR 161 series,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7.3.1,V 6,3179 cm3 / 193.8 cui,184 kW / 250 PS / 247 hp  (ECE),300 Nm / 221 ft-lb,Selespeed,semi-automatic (automated manual),6,250 km/h / 155 mph,6.3, ,18 / 8.6 / 12.1 l/100km,,,,,,,,,9.6-11.5 / 17.4-20.9 / 10.6-12.7 / 13.7
2004 Alfa Romeo 156 GTA Sportwagon ,Alfa Romeo 156 Sportwagon GTA (man. 6 speed),/car/2004/220280/alfa_romeo_156_sportwagon_gta.html,,Europe,D (large cars),station wagon,FWD (front-wheel drive),4441 mm / 174.8 in,1765 mm / 69.5 in,1390 mm / 54.7 in,2595 mm / 102.2 in,1460 kg / 3219 lbs,AR 161 series,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7.3.1,V 6,3179 cm3 / 193.8 cui,184 kW / 250 PS / 247 hp  (ECE),300 Nm / 221 ft-lb,,manual,6,250 km/h / 155 mph,6.3, ,18.4 / 8.8 / 12.3 l/100km,,,,,,,,,9.6-11.5 / 17.2-20.6 / 10.6-12.7 / 13.6
2004 Alfa Romeo 156 GTA Sportwagon ,Alfa Romeo 156 Sportwagon GTA Selespeed (s-aut. 6 speed),/car/2004/221405/alfa_romeo_156_sportwagon_gta_selespeed.html,,Europe,D (large cars),station wagon,FWD (front-wheel drive),4441 mm / 174.8 in,1765 mm / 69.5 in,1390 mm / 54.7 in,2595 mm / 102.2 in,1460 kg / 3219 lbs,AR 161 series,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7.3.1,V 6,3179 cm3 / 193.8 cui,184 kW / 250 PS / 247 hp  (ECE),300 Nm / 221 ft-lb,Selespeed,semi-automatic (automated manual),6,250 km/h / 155 mph,6.3, ,18.4 / 8.8 / 12.3 l/100km,,,,,,,,,9.6-11.5 / 17.5-21 / 10.5-12.6 / 13.8
2001 Alfa Romeo 156 serie 1/I Sedan ,Alfa Romeo 156 1.6 Twin Spark 16V (man. 5 speed),/car/2001/219215/alfa_romeo_156_1_6_twin_spark_16v.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4430 mm / 174.4 in,1745 mm / 68.7 in,1415 mm / 55.7 in,2595 mm / 102.2 in,1265 kg / 2789 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1598 cm3 / 97.7 cui,88 kW / 120 PS / 118 hp  (ECE),146 Nm / 108 ft-lb,,manual,5,200 km/h / 124 mph,10.5, ,11.4 / 6.4 / 8.2 l/100km,,,,,,,,,7.2-8.6 / 10.4-12.5 / 8.9-10.7 / 9.2
2001 Alfa Romeo 156 serie 1/I Sedan ,Alfa Romeo 156 1.8 Twin Spark 16V (man. 5 speed),/car/2001/219230/alfa_romeo_156_1_8_twin_spark_16v.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4430 mm / 174.4 in,1745 mm / 68.7 in,1415 mm / 55.7 in,2595 mm / 102.2 in,1265 kg / 2789 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1747 cm3 / 106.8 cui,103 kW / 140 PS / 138 hp  (ECE),163 Nm / 120 ft-lb,,manual,5,208 km/h / 129 mph,9.4, ,12.1 / 6.4 / 8.5 l/100km,,,,,,,,,7.4-8.9 / 10.9-13.1 / 9-10.8 / 9.6
2001 Alfa Romeo 156 serie 1/I Sedan ,Alfa Romeo 156 2.0 Twin Spark 16V (man. 5 speed),/car/2001/219245/alfa_romeo_156_2_0_twin_spark_16v.html,,Europe        Australia,D (large cars),sedan,FWD (front-wheel drive),4430 mm / 174.4 in,1745 mm / 68.7 in,1415 mm / 55.7 in,2595 mm / 102.2 in,1285 kg / 2833 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1970 cm3 / 120.3 cui,110 kW / 150 PS / 148 hp  (ECE),181 Nm / 133 ft-lb,,manual,5,214 km/h / 133 mph,8.8, ,12.3 / 6.6 / 8.7 l/100km,,,,,,,,,7.8-9.4 / 12-14.4 / 9.3-11.2 / 10.3
2001 Alfa Romeo 156 serie 1/I Sedan ,Alfa Romeo 156 2.0 Twin Spark 16V Selespeed (s-aut. 5 speed),/car/2001/219260/alfa_romeo_156_2_0_twin_spark_16v_selespeed.html,,Europe        Australia,D (large cars),sedan,FWD (front-wheel drive),4430 mm / 174.4 in,1745 mm / 68.7 in,1415 mm / 55.7 in,2595 mm / 102.2 in,1285 kg / 2833 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1970 cm3 / 120.3 cui,110 kW / 150 PS / 148 hp  (ECE),181 Nm / 133 ft-lb,Selespeed,semi-automatic (automated manual),5,214 km/h / 133 mph,8.8, ,12.3 / 6.6 / 8.7 l/100km,,,,,,,,,7.7-9.2 / 12.1-14.5 / 9.3-11.2 / 10.3
2001 Alfa Romeo 156 serie 1/I Sedan ,Alfa Romeo 156 2.5 V6 24V (man. 6 speed),/car/2001/219275/alfa_romeo_156_2_5_v6_24v.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4430 mm / 174.4 in,1745 mm / 68.7 in,1415 mm / 55.7 in,2595 mm / 102.2 in,1355 kg / 2987 lbs,Alfa Romeo 119/11,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 3.1,V 6,2492 cm3 / 151.8 cui,141 kW / 192 PS / 189 hp  (ECE),218 Nm / 161 ft-lb,,manual,6,230 km/h / 143 mph,7.3, ,17.5 / 8.5 / 11.8 l/100km,,,,,,,,,8.9-10.7 / 15.2-18.2 / 10.2-12.2 / 12.3
2001 Alfa Romeo 156 serie 1/I Sedan ,Alfa Romeo 156 2.5 V6 24V Q-system (aut. 4 speed),/car/2001/219290/alfa_romeo_156_2_5_v6_24v_q-system.html,,Europe        Australia,D (large cars),sedan,FWD (front-wheel drive),4430 mm / 174.4 in,1745 mm / 68.7 in,1415 mm / 55.7 in,2595 mm / 102.2 in,1405 kg / 3097 lbs,Alfa Romeo 119/11,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 3.1,V 6,2492 cm3 / 151.8 cui,141 kW / 192 PS / 189 hp  (ECE),218 Nm / 161 ft-lb,Aisin Q-System,automatic,4,227 km/h / 141 mph,8.5, ,17.5 / 8.6 / 11.9 l/100km,,,,,,,,,8.7-10.4 / 13.8-16.6 / 10.1-12.1 / 11.6
2001 Alfa Romeo 156 serie 1/I Sedan ,Alfa Romeo 156 1.9 JTD (man. 5 speed),/car/2001/219305/alfa_romeo_156_1_9_jtd.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4430 mm / 174.4 in,1745 mm / 68.7 in,1415 mm / 55.7 in,2595 mm / 102.2 in,1305 kg / 2877 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,2,"Garrett T15 turbo 1,0bar",Line 4,1910 cm3 / 116.7 cui,81 kW / 110 PS / 109 hp  (ECE),200 Nm / 147 ft-lb,,manual,5,191 km/h / 119 mph,10.3, ,7.8 / 4.7 / 5.8 l/100km,,,,,,,,,4.5-5.4 / 6.9-8.3 / 5.7-6.8 / 5.9
