Submodel_Name,Powertrain_Name,Powertrain_Link,Related_Models,Markets_Sold,EEC_segmentation,Body_Style,Traction,Length,Width,Height,Wheelbase,Weight,Engine_Manufacturer,Engine_Type,Fuel_Type,Fuel_System,Charge_System,Valves_Per_Cylinder,Additional_Features,Cylinders_Alignment,Displacement,Horsepower,Torque,Transmission,Transmission_Type,Number_Of_Gears,Top_Speed,0_100_kmh_(sec),ECE90_120_city_comb,EU_NEDC_Australia_ADR82,Battery_Capacity,Battery_Capacity_Net,E_Power_Cons_NEDC_comb,E_Power_Cons_WLTP_comb,E_Range_NEDC_comb,E_Range_WLTP_comb,E_Range_NEDC_city,E_Range_WLTP_city,Simulation_Based_Consumption
1993 Citroen XM phase-I Salon ,Citroen XM 2.0 catalyst (man. 5 speed),/car/1993/541475/citroen_xm_2_0_cat.html,,Europe,E (executive cars),hatchback,FWD (front-wheel drive),4709 mm / 185.4 in,1793 mm / 70.6 in,1390 mm / 54.7 in,2850 mm / 112.2 in,1310 kg / 2888 lbs,PSA XU10MZ,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,2,Monopoint G5,Line 4,1998 cm3 / 122.4 cui,79 kW / 107 PS / 106 hp  (ECE),164 Nm / 121 ft-lb,,manual,5,190 km/h / 118 mph,12.4,6.8 / 8.5 / 12.5 (9.3) l/100km, ,,,,,,,,,7.4-8.9 / 11-13.2 / 8.9-10.7 / 9.6
1999 Citroen XM phase-II Wagon ,Citroen XM Break 2.5 Turbo D VSX (man. 5 speed),/car/1999/545180/citroen_xm_break_2_5_turbo_d_vsx.html,,Europe,E (executive cars),station wagon,FWD (front-wheel drive),4963 mm / 195.4 in,1794 mm / 70.6 in,1456 mm / 57.3 in,2850 mm / 112.2 in,1639 kg / 3613 lbs,PSA DK5ATE,diesel,diesel fuel,diesel indirect injection,turbocharger,3,"turbo 0,8bar; intercooler",Line 4,2446 cm3 / 149 cui,95 kW / 129 PS / 127 hp  (ECE),285 Nm / 210 ft-lb,,manual,5,192 km/h / 119 mph,13.1,5.1 / 6.8 / 9.5 (7.1) l/100km,10.9 / 5.9 / 7.7 l/100km,,,,,,,,,6.3-7.6 / 9.9-11.9 / 7.6-9.1 / 8.4
2014 Ferrari LaFerrari Coupe ,LaFerrari (d-cl. 7 speed),/car/2014/1842590/laferrari.html,,Europe         Asia       special edition,S (sport cars),fastback coupe,RWD (rear- wheel drive),4702 mm / 185.1 in,1992 mm / 78.4 in,1116 mm / 43.9 in,2650 mm / 104.3 in,1350 kg / 2976 lbs,Ferrari,spark-ignition 4-stroke,gasoline (petrol),"HEV Hybrid Electric Vehicle, direct injection engine + electric motor",naturally aspirated,4,"+ 2 electric motors (hybrid), Hybrid start-stop system",V 12,6262 cm3 / 381.9 cui,708 kW / 963 PS / 949 hp  (ECE),900 Nm / 664 ft-lb,Magna (Getrag) 7DCL750,dual clutch automatic,7,350 km/h / 218 mph,3, , /  / 14.2 l/100km,,,,,,,,,9.7-11.6 / 20.2-24.2 / 10.1-12.1 / 14.9
2004 Ferrari Enzo ,Ferrari Enzo (s-aut. 6 speed),/car/2004/707255/ferrari_enzo.html,,Europe  North America,S (sport cars),fastback coupe,RWD (rear-wheel drive),4702 mm / 185.1 in,2035 mm / 80.1 in,1147 mm / 45.2 in,2650 mm / 104.3 in,1365 kg / 3009 lbs,Ferrari Tipo F140B,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME7,V 12,5999 cm3 / 365.6 cui,485 kW / 660 PS / 650 hp  (ECE),657 Nm / 485 ft-lb,Ferrari F1,semi-automatic (automated manual),6,350 km/h / 218 mph,3.65, ,36.3 / 15.2 / 23 l/100km,,,,,,,,,13.6-16.3 / 29.8-35.8 / 14.1-16.9 / 21.5
2021 Fiat 500 (EV) Cabrio ,Fiat 500 Cabrio (aut. 1 speed),/car/2021/2971415/fiat_500_cabrio.html,,Europe,A (mini cars),soft-top,FWD (front-wheel drive),3632 mm / 143 in,1683 mm / 66.3 in,1527 mm / 60.1 in,2322 mm / 91.4 in,1330 kg / 2932 lbs,,,electric power - BEV Electric Vehicle,"BEV, electric vehicle, electric motor",,,permanent magnet electric motor, ,0 cm3 /  cui,87 kW / 118 PS / 117 hp  (ECE),220 Nm / 162 ft-lb,,automatic,1,150 km/h / 93 mph,9, , ,42 kWh,37.3 kWh,,14.7 kWh / 100km,,303 km / 188 miles,,436 km / 271 miles,- / - / - / 
2004 Ferrari 360 Spider ,Ferrari 360 Spider F1 (s-aut. 6 speed),/car/2004/707135/ferrari_360_spider_f1.html,,Europe  North America,S (sport cars),convertible,RWD (rear-wheel drive),4477 mm / 176.3 in,1922 mm / 75.7 in,1235 mm / 48.6 in,2600 mm / 102.4 in,1450 kg / 3197 lbs,Ferrari Dino V8 Tipo F121,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,5,Bosch Motronic ME7.3,V 8,3586 cm3 / 219.3 cui,294 kW / 400 PS / 394 hp  (ECE),373 Nm / 275 ft-lb,Ferrari F1,semi-automatic (automated manual),6,293 km/h / 182 mph,4.6, ,30.2 / 12.9 / 19.3 l/100km,,,,,,,,,11.3-13.6 / 20.1-24.1 / 12.4-14.9 / 16
2020 Ferrari SF90 Stradale ,Ferrari SF90 Stradale (d-cl. 8 speed),/car/2020/2914715/ferrari_sf90_stradale.html,,Europe  North America       Asia       worldwide,S (sport cars),fastback coupe,"4WD (four-wheel drive, 4x4, 2 electric motors on the front axle, petrol engine and one electric motor on the rear axle)",4704 mm / 185.2 in,1973 mm / 77.7 in,1226 mm / 48.3 in,2649 mm / 104.3 in, ,Ferrari,spark-ignition 4-stroke,gasoline/electric power - PHEV Plug-in Hybrid Electric Vehicle,"PHEV Plug-in Hybrid Electric Vehicle, direct injection engine + electric motor",2 turbochargers,4,"350 bar direct injection + 3 electric motors (plug-in hybrid), Hybrid start-stop system",V 8,3990 cm3 / 243 cui,735 kW / 1000 PS / 986 hp  (ECE), ,,dual clutch automatic,8,340 km/h / 211 mph,2.5, , ,7.9 kWh,,,,,,25 km / 16 miles,,- / - / - / 
2014 Fiat 500C Convertible phase-I ,Fiat 500c TwinAir Turbo 85 Dualogic Start&Stop (s-aut. 5 speed),/car/2014/1455500/fiat_500c_twinair_turbo_85_dualogic_startandstop.html,,Europe,A (mini cars),soft-top,FWD (front-wheel drive),3546 mm / 139.6 in,1627 mm / 64.1 in,1488 mm / 58.6 in,2300 mm / 90.6 in,950 kg / 2094 lbs,Fiat TwinAir,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,turbocharger,4,"Multi-point fuel injection, turbo, intercooler, start and stop, Start-Stop system",Line 2,875 cm3 / 53.5 cui,62.5 kW / 85 PS / 84 hp  (ECE),145 Nm / 107 ft-lb,Fiat Dualogic,semi-automatic (automated manual),5,173 km/h / 108 mph,11.5, ,4.6 / 3.6 / 4 l/100km,,,,,,,,,4.9-5.9 / 7.3-8.8 / 6.7-8 / 6.4
2021 Fiat 500C Convertible phase-II ,Fiat 500c Hybrid (man. 6 speed),/car/2021/2971385/fiat_500c_hybrid.html,,Europe,A (mini cars),soft-top,FWD (front-wheel drive),3571 mm / 140.6 in,1627 mm / 64.1 in,1488 mm / 58.6 in,2300 mm / 90.6 in,980 kg / 2160 lbs,Fiat FireFly series,spark-ignition 4-stroke,gasoline (petrol),"MHEV Mild Hybrid Electric Vehicle, indirect injection engine + electric starter/generator",naturally aspirated,2,MHEV Start-Stop system,Line 3,999 cm3 / 61.2 cui,51.5 kW / 70 PS / 69 hp  (ECE),93 Nm / 69 ft-lb,,manual,6,167 km/h / 104 mph,13.8, ,4.7 / 3.4 / 3.9 l/100km,,,,,,,,,- / - / - / 
2018 Fiat 500e Hatchback ,Fiat 500e (aut. 1 speed),/car/2018/2630330/fiat_500e.html,,"North America              California, Oregon",A (mini cars),hatchback,FWD (front-wheel drive),3617 mm / 142.4 in,1627 mm / 64.1 in,1527 mm / 61.1 in,2300 mm / 90.6 in,1355 kg / 2987 lbs,,,electric power - BEV Electric Vehicle,"BEV, electric vehicle, electric motor",,,permanent magnetic electric traction with electric-parking pawl, ,0 cm3 /  cui,83 kW / 113 PS / 111 hp  (SAE net),200 Nm / 147 ft-lb,,automatic,1,141 km/h / 88 mph,, , ,24 kWh,364 V,,,,,,,- / - / - / 
1999 Fiat Coupe model 175 ,Fiat Coupe 2.0 20V (man. 5 speed),/car/1999/720470/fiat_coupe_2_0_20v.html,,Europe,S (sport cars),fastback coupe,FWD (front-wheel drive),4250 mm / 167.3 in,1768 mm / 69.6 in,1355 mm / 53.3 in,2540 mm / 100 in,1270 kg / 2800 lbs,Fiat,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,5,Bosch; Variable Inlet System,Line 5,1998 cm3 / 122.1 cui,113 kW / 154 PS / 152 hp  (ECE),186 Nm / 137 ft-lb,,manual,5,215 km/h / 134 mph,8.4, ,14 / 7.3 / 9.8 l/100km,,,,,,,,,8-9.6 / 12.5-15 / 9.7-11.6 / 10.6
